
id,cylinders,displacement,horsepower,<weight,>acceleration,model,origin,>mpg,dom_score
0,8.0,9.0,11.0,4732.0,18.5,1.0,1.0,10.0,58
1,8.0,10.0,11.0,4615.0,14.0,1.0,1.0,10.0,22
2,8.0,9.0,11.0,4376.0,15.0,1.0,1.0,10.0,43
3,8.0,9.0,11.0,4382.0,13.5,1.0,1.0,10.0,28
4,8.0,11.0,11.0,4633.0,11.0,2.0,1.0,10.0,8
5,8.0,11.0,10.0,4997.0,14.0,3.0,1.0,10.0,11
6,8.0,10.0,11.0,3664.0,11.0,3.0,1.0,10.0,38
7,8.0,11.0,11.0,4955.0,11.5,2.0,1.0,10.0,2
8,8.0,10.0,11.0,4456.0,13.5,2.0,1.0,10.0,27
9,8.0,11.0,11.0,4952.0,11.5,3.0,1.0,10.0,3
10,8.0,11.0,11.0,4951.0,11.0,3.0,1.0,10.0,0
11,8.0,11.0,11.0,4906.0,12.5,3.0,1.0,10.0,9
12,8.0,10.0,11.0,4499.0,12.5,3.0,1.0,10.0,16
13,8.0,11.0,11.0,4746.0,12.0,2.0,1.0,10.0,10
14,8.0,11.0,11.0,5140.0,12.0,2.0,1.0,10.0,1
15,8.0,10.0,11.0,4274.0,12.0,2.0,1.0,10.0,20
16,8.0,10.0,10.0,4502.0,13.5,2.0,1.0,10.0,23
17,8.0,11.0,11.0,4422.0,12.5,2.0,1.0,10.0,19
18,8.0,9.0,8.0,4098.0,14.0,2.0,1.0,10.0,47
19,8.0,8.0,9.0,4294.0,16.0,2.0,1.0,10.0,54
20,8.0,10.0,11.0,4100.0,13.0,3.0,1.0,10.0,35
21,8.0,10.0,9.0,3988.0,13.0,3.0,1.0,10.0,41
22,8.0,11.0,10.0,4464.0,12.0,3.0,1.0,10.0,13
23,8.0,10.0,11.0,4363.0,13.0,3.0,1.0,10.0,25
24,8.0,11.0,11.0,4735.0,11.0,3.0,1.0,10.0,6
25,8.0,10.0,11.0,3821.0,11.0,3.0,1.0,10.0,31
26,8.0,10.0,11.0,4654.0,13.0,3.0,1.0,10.0,15
27,8.0,10.0,10.0,4699.0,14.5,4.0,1.0,10.0,24
28,8.0,8.0,8.0,3169.0,12.0,5.0,1.0,10.0,61
29,8.0,9.0,10.0,3940.0,13.2,6.0,1.0,10.0,46
30,8.0,10.0,9.0,4055.0,12.0,6.0,1.0,10.0,29
31,8.0,8.0,8.0,3870.0,15.0,6.0,1.0,10.0,60
32,8.0,9.0,10.0,3755.0,14.0,6.0,1.0,10.0,59
33,8.0,11.0,11.0,4354.0,9.0,1.0,1.0,10.0,5
34,8.0,11.0,11.0,4312.0,8.5,1.0,1.0,10.0,4
35,8.0,11.0,11.0,4425.0,10.0,1.0,1.0,10.0,7
36,8.0,10.0,11.0,3609.0,8.0,1.0,1.0,10.0,14
37,8.0,11.0,11.0,3086.0,10.0,1.0,1.0,10.0,52
38,8.0,10.0,11.0,4209.0,12.0,2.0,1.0,10.0,21
39,8.0,11.0,11.0,4464.0,11.5,2.0,1.0,10.0,12
40,8.0,10.0,10.0,4154.0,13.5,2.0,1.0,10.0,39
41,8.0,9.0,10.0,4096.0,13.0,2.0,1.0,10.0,36
42,8.0,11.0,11.0,4385.0,12.0,2.0,1.0,10.0,17
43,8.0,10.0,10.0,4129.0,13.0,2.0,1.0,10.0,33
44,8.0,9.0,10.0,4077.0,14.0,2.0,1.0,10.0,48
45,8.0,9.0,10.0,3672.0,11.5,3.0,1.0,10.0,42
46,8.0,8.0,9.0,4042.0,14.5,3.0,1.0,10.0,51
47,8.0,9.0,10.0,4237.0,14.5,3.0,1.0,10.0,44
48,8.0,9.0,10.0,4457.0,13.5,4.0,1.0,10.0,26
49,8.0,8.0,9.0,4638.0,16.0,4.0,1.0,10.0,40
50,8.0,9.0,10.0,4257.0,15.5,4.0,1.0,10.0,50
51,8.0,10.0,10.0,4657.0,13.5,5.0,1.0,10.0,18
52,8.0,10.0,10.0,4215.0,12.8,6.0,1.0,10.0,30
53,8.0,10.0,11.0,3693.0,11.5,1.0,1.0,20.0,70
54,8.0,11.0,11.0,4341.0,10.0,1.0,1.0,20.0,37
55,8.0,11.0,11.0,3850.0,8.5,1.0,1.0,20.0,45
56,8.0,11.0,11.0,3563.0,10.0,1.0,1.0,20.0,64
57,8.0,11.0,10.0,3761.0,9.5,1.0,1.0,20.0,56
58,8.0,9.0,10.0,4135.0,13.5,2.0,1.0,20.0,68
59,8.0,9.0,10.0,3892.0,12.5,2.0,1.0,20.0,71
60,8.0,9.0,10.0,3777.0,12.5,3.0,1.0,20.0,82
61,8.0,10.0,9.0,4082.0,13.0,3.0,1.0,20.0,67
62,8.0,9.0,10.0,3399.0,11.0,3.0,1.0,20.0,84
63,6.0,7.0,6.0,3336.0,17.0,4.0,1.0,20.0,147
64,6.0,7.0,3.0,3432.0,21.0,5.0,1.0,20.0,211
65,6.0,7.0,3.0,3158.0,19.5,5.0,1.0,20.0,208
66,8.0,10.0,9.0,4440.0,14.0,5.0,1.0,20.0,62
67,6.0,8.0,7.0,3730.0,19.0,5.0,1.0,20.0,149
68,8.0,8.0,8.0,4295.0,14.9,6.0,1.0,20.0,81
69,8.0,9.0,8.0,3962.0,13.9,6.0,1.0,20.0,86
