Learner|Best Params|Untuned Score|Tuned Score
cart|{'min_samples_split': 8, 'random_state': 1542, 'max_features': 0.44897959183673475, 'max_depth': 3, 'min_samples_leaf': 20}|0.558824|0.638235
rf|{'min_samples_split': 18, 'n_estimators': 51, 'min_samples_leaf': 16, 'random_state': 1542, 'max_leaf_nodes': 17, 'max_features': 0.10000000000000001}|0.591176|0.658824
nb|{'priors': None}|0.582353|0.582353
svm|{'kernel': 'rbf', 'C': 10.0}|0.588235|0.573529
knn|{'weights': 'distance', 'n_neighbors': 5}|0.611765|0.585294
tuned_ensemble|{'rf__max_leaf_nodes': 47, 'rf__min_samples_split': 2, 'cart__max_depth': 40, 'rf__min_samples_leaf': 9, 'cart__random_state': 1542, 'cart__min_samples_leaf': 6, 'rf__max_features': 0.34795918367346945, 'rf__n_estimators': 84, 'cart__min_samples_split': 17, 'knn__weights': 'uniform', 'knn__n_neighbors': 3, 'rf__random_state': 1542, 'cart__max_features': 0.72448979591836737, 'svm__C': 1.0000000000000001e-05, 'svm__kernel': 'rbf', 'nb__priors': None}|0.605882|0.661765
best_param_ensemble|{}|0.605882|0.635294


Tuning Times:
{'nb': 0.8835556507110596, 'rf': 131.61381363868713, 'knn': 2.2419662475585938, 'cart': 1.1220545768737793, 'tuned_ensemble': 603.4451406002045, 'svm': 5.157954692840576}
