Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_features': 0.46734693877551026, 'min_samples_split': 5, 'max_depth': 4, 'min_samples_leaf': 9, 'random_state': 1542}|0.667797|0.691525
rf|{'max_leaf_nodes': 11, 'max_features': 0.38469387755102047, 'min_samples_split': 20, 'random_state': 1542, 'min_samples_leaf': 18, 'n_estimators': 66}|0.684746|0.703955
nb|{'priors': None}|0.641808|0.641808
svm|{'C': 1.0000000000000001e-09, 'kernel': 'rbf'}|0.647458|0.538983
knn|{'n_neighbors': 5, 'weights': 'uniform'}|0.620339|0.620339
tuned_ensemble|{'cart__random_state': 1542, 'rf__max_leaf_nodes': 9, 'knn__n_neighbors': 6, 'rf__random_state': 1542, 'nb__priors': None, 'cart__max_features': 0.76122448979591839, 'rf__n_estimators': 50, 'cart__min_samples_split': 2, 'rf__min_samples_split': 19, 'svm__C': 0.10000000000000001, 'rf__max_features': 0.63265306122448983, 'svm__kernel': 'rbf', 'rf__min_samples_leaf': 14, 'knn__weights': 'uniform', 'cart__min_samples_leaf': 9, 'cart__max_depth': 6}|0.687006|0.691525
best_param_ensemble|{}|0.687006|0.696045


Tuning Times:
{'rf': 316.39588618278503, 'cart': 5.9176483154296875, 'svm': 135.55633902549744, 'knn': 10.977698564529419, 'tuned_ensemble': 774.8611409664154, 'nb': 1.8758256435394287}
