Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_features': 0.10000000000000001, 'min_samples_leaf': 20, 'random_state': 1542, 'max_depth': 1, 'min_samples_split': 2}|0.372449|0.630952
rf|{'min_samples_leaf': 19, 'random_state': 1542, 'min_samples_split': 11, 'max_features': 0.60510204081632657, 'max_leaf_nodes': 2, 'n_estimators': 67}|0.372449|0.537415
nb|{'priors': None}|0.386054|0.386054
svm|{'C': 1000000000.0, 'kernel': 'rbf'}|0.513605|0.270408
knn|{'weights': 'distance', 'n_neighbors': 4}|0.488095|0.447279
tuned_ensemble|{'cart__max_depth': 1, 'knn__n_neighbors': 5, 'knn__weights': 'distance', 'cart__random_state': 1542, 'rf__max_features': 0.58673469387755106, 'rf__max_leaf_nodes': 2, 'rf__n_estimators': 66, 'cart__min_samples_leaf': 15, 'rf__min_samples_leaf': 11, 'rf__min_samples_split': 11, 'svm__C': 10000000.0, 'cart__min_samples_split': 7, 'rf__random_state': 1542, 'cart__max_features': 0.95408163265306123, 'svm__kernel': 'rbf', 'nb__priors': None}|0.396259|0.377551
best_param_ensemble|{}|0.396259|0.433673


Tuning Times:
{'knn': 4.592996597290039, 'cart': 2.019662380218506, 'tuned_ensemble': 697.6633734703064, 'nb': 1.0892829895019531, 'rf': 207.67733311653137, 'svm': 80.2586452960968}
