Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 50, 'random_state': 1542, 'max_features': 0.19183673469387758, 'min_samples_split': 13, 'min_samples_leaf': 5}|0.311927|0.210526
rf|{'min_samples_split': 17, 'min_samples_leaf': 1, 'n_estimators': 61, 'random_state': 1542, 'max_leaf_nodes': 46, 'max_features': 0.94489795918367347}|0.270833|0.380952
nb|{'priors': None}|0.352941|0.352941
svm|{'kernel': 'rbf', 'C': 10.0}|0.034483|0.035088
knn|{'n_neighbors': 8, 'weights': 'uniform'}|0.235294|0.237500
tuned_ensemble|{'svm__C': 100000.0, 'rf__n_estimators': 101, 'cart__min_samples_leaf': 7, 'knn__n_neighbors': 2, 'rf__random_state': 1542, 'cart__max_depth': 33, 'cart__max_features': 0.35714285714285721, 'svm__kernel': 'sigmoid', 'rf__max_leaf_nodes': 2, 'rf__min_samples_split': 11, 'cart__random_state': 1542, 'nb__priors': None, 'knn__weights': 'uniform', 'rf__min_samples_leaf': 16, 'rf__max_features': 0.43979591836734699, 'cart__min_samples_split': 18}|0.289157|0.341463
best_param_ensemble|{}|0.289157|0.298851


Tuning Times:
{'svm': 3.0189096927642822, 'tuned_ensemble': 536.6138799190521, 'nb': 1.031639575958252, 'rf': 100.77462935447693, 'cart': 1.0068092346191406, 'knn': 2.0805628299713135}
