Learner|Best Params|Untuned Score|Tuned Score
cart|{'max_depth': 2, 'random_state': 1542, 'min_samples_split': 11, 'max_features': 0.31122448979591838, 'min_samples_leaf': 12}|0.549550|0.577406
rf|{'n_estimators': 82, 'max_leaf_nodes': 6, 'max_features': 0.10000000000000001, 'min_samples_leaf': 18, 'random_state': 1542, 'min_samples_split': 13}|0.564103|0.577406
nb|{'priors': None}|0.359375|0.359375
svm|{'kernel': 'rbf', 'C': 10.0}|0.588235|0.584362
knn|{'weights': 'distance', 'n_neighbors': 1}|0.502463|0.508929
tuned_ensemble|{'rf__min_samples_leaf': 18, 'knn__n_neighbors': 1, 'rf__min_samples_split': 7, 'knn__weights': 'uniform', 'rf__random_state': 1542, 'cart__max_depth': 1, 'rf__max_leaf_nodes': 13, 'cart__min_samples_leaf': 12, 'svm__C': 10000000.0, 'cart__random_state': 1542, 'cart__max_features': 0.85306122448979593, 'cart__min_samples_split': 13, 'svm__kernel': 'rbf', 'nb__priors': None, 'rf__max_features': 0.11836734693877551, 'rf__n_estimators': 83}|0.568966|0.554688
best_param_ensemble|{}|0.568966|0.561983


Tuning Times:
{'cart': 1.4611375331878662, 'knn': 2.4433658123016357, 'rf': 131.3414397239685, 'nb': 1.199936866760254, 'tuned_ensemble': 580.2454404830933, 'svm': 7.787851095199585}
