Learner|Best Params|Untuned Score|Tuned Score
cart|{'min_samples_split': 11, 'min_samples_leaf': 19, 'random_state': 1542, 'max_depth': 1, 'max_features': 0.6785714285714286}|0.605898|0.703963
rf|{'min_samples_split': 3, 'max_leaf_nodes': 2, 'n_estimators': 111, 'min_samples_leaf': 10, 'max_features': 0.20102040816326533, 'random_state': 1542}|0.645489|0.624544
nb|{'priors': None}|0.458120|0.458120
svm|{'kernel': 'rbf', 'C': 0.001}|0.675000|0.659432
knn|{'n_neighbors': 9, 'weights': 'uniform'}|0.603774|0.616092
tuned_ensemble|{'knn__weights': 'uniform', 'svm__kernel': 'rbf', 'rf__max_features': 0.12755102040816327, 'cart__max_features': 0.56836734693877555, 'nb__priors': None, 'cart__min_samples_split': 13, 'knn__n_neighbors': 5, 'svm__C': 9.9999999999999995e-08, 'cart__max_depth': 1, 'cart__min_samples_leaf': 16, 'cart__random_state': 1542, 'rf__n_estimators': 100, 'rf__min_samples_split': 9, 'rf__max_leaf_nodes': 2, 'rf__min_samples_leaf': 15, 'rf__random_state': 1542}|0.688525|0.664260
best_param_ensemble|{}|0.688525|0.688525


Tuning Times:
{'knn': 12.243576526641846, 'nb': 2.622925043106079, 'svm': 110.45502209663391, 'cart': 3.4767513275146484, 'tuned_ensemble': 967.0912895202637, 'rf': 306.32123708724976}
